System,BLEU,chrF++,Coverage,Rep. Rate
Baseline (eamonmckenna/whisper-large-v3-ga-ie-2025-01-24 + facebook/nllb-200-distilled-600M),3.3255538003374134,19.49441429101971,100.0%,0.0%
Improved (describe your system),0.0,0.0,N/A,N/A
